,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__solver,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
280,0.7709731578826904,0.032795398877137845,0.010730361938476563,0.002548335278430131,relu,0.001,"(16,)",adam,20,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (16,), 'mlp__solver': 'adam', 'pca__n_components': 20}",0.5833333333333334,0.5416666666666666,0.4625,0.6333333333333333,0.525,0.5491666666666666,0.05727613425813194,268
281,1.0531758785247802,0.017914975976176577,0.015330076217651367,0.0012148340516531222,relu,0.001,"(16,)",adam,40,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (16,), 'mlp__solver': 'adam', 'pca__n_components': 40}",0.5666666666666667,0.5208333333333334,0.5125,0.5833333333333334,0.5708333333333333,0.5508333333333333,0.02855306949835303,252
282,1.3044495582580566,0.014629040670054362,0.020459318161010744,0.0031274068221329044,relu,0.001,"(16,)",adam,60,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (16,), 'mlp__solver': 'adam', 'pca__n_components': 60}",0.5583333333333333,0.5416666666666666,0.49583333333333335,0.6083333333333333,0.4708333333333333,0.5349999999999999,0.04820384954659855,362
283,1.607301378250122,0.02871810720067807,0.02266273498535156,0.0019341355849602454,relu,0.001,"(16,)",adam,80,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (16,), 'mlp__solver': 'adam', 'pca__n_components': 80}",0.5291666666666667,0.5375,0.525,0.6,0.5958333333333333,0.5575,0.033270774629461874,192
284,1.3928114414215087,0.04381908255160334,0.02741856575012207,0.002540697465593735,relu,0.001,"(16,)",adam,100,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (16,), 'mlp__solver': 'adam', 'pca__n_components': 100}",0.6,0.5166666666666667,0.5708333333333333,0.5041666666666667,0.5375,0.5458333333333333,0.03525699300217695,298
285,0.7464542388916016,0.022160372381272563,0.010785770416259766,0.002021649719072142,relu,0.001,"(16,)",sgd,20,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (16,), 'mlp__solver': 'sgd', 'pca__n_components': 20}",0.5833333333333334,0.5416666666666666,0.5458333333333333,0.575,0.6125,0.5716666666666667,0.026007477557212094,72
286,1.03417649269104,0.04161016767750743,0.01652693748474121,0.002715291613320654,relu,0.001,"(16,)",sgd,40,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (16,), 'mlp__solver': 'sgd', 'pca__n_components': 40}",0.5708333333333333,0.55,0.5041666666666667,0.6291666666666667,0.55,0.5608333333333333,0.04053462169005103,169
287,1.2973926544189454,0.030658035677126366,0.01887826919555664,0.0015612992894101121,relu,0.001,"(16,)",sgd,60,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (16,), 'mlp__solver': 'sgd', 'pca__n_components': 60}",0.5291666666666667,0.5458333333333333,0.5375,0.5916666666666667,0.6041666666666666,0.5616666666666666,0.030322342331100417,164
288,1.6075743198394776,0.023367681735477475,0.022921228408813478,0.00172189511108306,relu,0.001,"(16,)",sgd,80,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (16,), 'mlp__solver': 'sgd', 'pca__n_components': 80}",0.5833333333333334,0.55,0.5458333333333333,0.5708333333333333,0.6,0.5700000000000001,0.020310096011589902,88
289,1.3813976764678955,0.022637379857185252,0.028667306900024413,0.0008850602174634134,relu,0.001,"(16,)",sgd,100,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (16,), 'mlp__solver': 'sgd', 'pca__n_components': 100}",0.5333333333333333,0.5166666666666667,0.5375,0.5125,0.5208333333333334,0.5241666666666667,0.00964653075232518,406
